chan_name,x,y,z,dist
3-13,30.7292,-124.6708,-0.011,128.40207204434046
3-14,30.990099999999998,-117.21879999999999,-0.0105,121.24616848152357
3-15,30.990099999999998,-117.21879999999999,-0.0105,121.24616848152357
3-16,34.494,-115.3566,-0.0104,120.40341024887958
3-17,34.494,-115.3566,-0.0104,120.40341024887958
3-18,38.3741,-116.181,-0.0102,122.35438820005598
3-19,38.3741,-116.181,-0.0102,122.35438820005598
3-20,40.8164,-119.30789999999999,-0.0109,126.09660388515623
3-21,40.8164,-119.30789999999999,-0.0109,126.09660388515623
3-22,40.679,-123.2731,-0.0108,129.81154888764712
3-23,40.679,-123.2731,-0.0108,129.81154888764712
3-24,38.0237,-126.22099999999999,-0.0114,131.82390755356175
3-25,38.0237,-126.22099999999999,-0.0114,131.82390755356175
3-26,34.0948,-126.773,-0.0116,131.27775484079547
3-27,34.0948,-126.773,-0.0116,131.27775484079547
3-28,32.570299999999996,-130.0178,-0.0121,134.0352668476845
3-29,32.570299999999996,-130.0178,-0.0121,134.0352668476845
3-30,29.1176,-128.81199999999998,-0.0121,132.0619777746797
3-31,29.1176,-128.81199999999998,-0.0121,132.0619777746797
3-32,25.762099999999997,-125.0535,-0.0114,127.67953500330427
3-33,25.762099999999997,-125.0535,-0.0114,127.67953500330427
3-34,25.763199999999998,-117.77839999999999,-0.0112,120.56323643963776
3-35,25.763199999999998,-117.77839999999999,-0.0112,120.56323643963776
3-36,27.240899999999996,-114.9066,-0.0108,118.09146182671293
3-37,27.240899999999996,-114.9066,-0.0108,118.09146182671293
3-38,30.5658,-112.19109999999999,-0.0101,116.28031238713628
3-39,30.5658,-112.19109999999999,-0.0101,116.28031238713628
3-40,34.8135,-111.8744,-0.0101,117.16595562538633
3-41,34.8135,-111.8744,-0.0101,117.16595562538633
3-42,40.326299999999996,-113.65379999999999,-0.0101,120.5960062611113
3-43,40.326299999999996,-113.65379999999999,-0.0101,120.5960062611113
3-44,44.119099999999996,-116.5718,-0.0107,124.64140379524774
3-45,44.119099999999996,-116.5718,-0.0107,124.64140379524774
3-46,45.3836,-120.76979999999999,-0.0102,129.01556394869573
3-47,45.3836,-120.76979999999999,-0.0102,129.01556394869573
3-48,43.9867,-124.4585,-0.0111,132.00283329966823
3-49,43.9867,-124.4585,-0.0111,132.00283329966823
3-50,40.9013,-128.2018,-0.0108,134.56826470208344
3-51,40.9013,-128.2018,-0.0108,134.56826470208344
3-52,36.6855,-130.2,-0.012199999999999999,135.26960453202338
3-53,36.6855,-130.2,-0.012199999999999999,135.26960453202338
3-54,29.795099999999998,-134.3489,-0.0125,137.61313496617973
3-55,29.795099999999998,-134.3489,-0.0125,137.61313496617973
3-56,26.2941,-132.8279,-0.0127,135.4054308852492
3-57,26.2941,-132.8279,-0.0127,135.4054308852492
3-58,24.5081,-130.2626,-0.0125,132.5480740122994
3-59,24.5081,-130.2626,-0.0125,132.5480740122994
3-60,22.193199999999997,-122.6142,-0.0113,124.60650130663328
3-61,22.193199999999997,-122.6142,-0.0113,124.60650130663328
3-62,20.191399999999998,-120.38659999999999,-0.0115,122.06812070938095
3-63,20.191399999999998,-120.38659999999999,-0.0115,122.06812070938095
3-64,24.0525,-113.96799999999999,-0.0108,116.47844341443613
3-65,24.0525,-113.96799999999999,-0.0108,116.47844341443613
3-66,27.686,-110.4216,-0.0101,113.83955526336177
3-67,27.686,-110.4216,-0.0101,113.83955526336177
3-68,31.2978,-106.52359999999999,-0.0095,111.02625654231524
3-69,31.2978,-106.52359999999999,-0.0095,111.02625654231524
3-70,34.468399999999995,-107.6262,-0.009600000000000001,113.01092657349554
3-71,34.468399999999995,-107.6262,-0.009600000000000001,113.01092657349554
3-72,39.114599999999996,-108.6232,-0.0094,115.45107843324809
3-73,39.114599999999996,-108.6232,-0.0094,115.45107843324809
3-74,45.1135,-112.24069999999999,-0.0103,120.96777512519604
3-75,45.1135,-112.24069999999999,-0.0103,120.96777512519604
3-76,47.1573,-114.1357,-0.0094,123.4940037320841
3-77,47.1573,-114.1357,-0.0094,123.4940037320841
3-78,48.4471,-119.30789999999999,-0.009600000000000001,128.76915974261848
3-79,48.4471,-119.30789999999999,-0.009600000000000001,128.76915974261848
3-80,50.2818,-123.03349999999999,-0.0102,132.91163054259022
3-81,50.2818,-123.03349999999999,-0.0102,132.91163054259022
3-82,45.7329,-130.6454,-0.0115,138.41863560796284
3-83,45.7329,-130.6454,-0.0115,138.41863560796284
3-84,42.5173,-132.9983,-0.0118,139.62903925108128
3-85,42.5173,-132.9983,-0.0118,139.62903925108128
3-86,37.587599999999995,-135.402,-0.0125,140.52234440742865
3-87,37.587599999999995,-135.402,-0.0125,140.52234440742865
4-0,119.0007,-40.2493,0.00030000000000000003,125.62313780104364
4-1,119.0007,-40.2493,0.00030000000000000003,125.62313780104364
4-2,121.2503,-41.4501,0.0004,128.13955689052463
4-3,121.2503,-41.4501,0.0004,128.13955689052463
4-4,121.24969999999999,-44.1496,0.0001,129.03750203041747
4-5,121.24969999999999,-44.1496,0.0001,129.03750203041747
4-6,119.00009999999999,-45.349399999999996,-0.0005,127.34830929529453
4-7,119.00009999999999,-45.349399999999996,-0.0005,127.34830929529453
4-8,116.7504,-44.1494,0.0,124.81917088540526
4-9,116.7504,-44.1494,0.0,124.81917088540526
4-10,116.75,-41.449799999999996,0.0002,123.8896622807569
4-11,116.75,-41.449799999999996,0.0002,123.8896622807569
4-12,124.37859999999999,-44.9728,0.0006000000000000001,132.2595511779773
4-13,124.37859999999999,-44.9728,0.0006000000000000001,132.2595511779773
4-14,121.72319999999999,-47.9206,0.0,130.8163648883426
4-15,121.72319999999999,-47.9206,0.0,130.8163648883426
4-16,117.7944,-48.4726,-0.0002,127.3778380336234
4-17,117.7944,-48.4726,-0.0002,127.3778380336234
4-18,114.42989999999999,-46.3704,-0.0009999999999999998,123.46827936830576
4-19,114.42989999999999,-46.3704,-0.0009999999999999998,123.46827936830576
4-20,113.204,-42.5974,0.0001,120.95323105547862
4-21,113.204,-42.5974,0.0001,120.95323105547862
4-22,114.68969999999999,-38.918499999999995,0.0009,121.11307496855984
4-23,114.68969999999999,-38.918499999999995,0.0009,121.11307496855984
4-24,118.19369999999999,-37.0554,0.0004,123.86627220050661
4-25,118.19369999999999,-37.0554,0.0004,123.86627220050661
4-26,122.0727,-37.8806,0.0011,127.81503801059561
4-27,122.0727,-37.8806,0.0011,127.81503801059561
4-28,124.51589999999999,-41.0075,0.0006000000000000001,131.09471541240706
4-29,124.51589999999999,-41.0075,0.0006000000000000001,131.09471541240706
4-30,128.08839999999998,-40.7046,0.001,134.40053078660065
4-31,128.08839999999998,-40.7046,0.001,134.40053078660065
4-32,128.7705,-44.2977,0.0005,136.17682583883354
4-33,128.7705,-44.2977,0.0005,136.17682583883354
4-34,127.19449999999999,-49.0837,0.0004,136.3365337535761
4-35,127.19449999999999,-49.0837,0.0004,136.3365337535761
4-36,120.89139999999999,-52.7194,-0.00039999999999999996,131.8865638733529
4-37,120.89139999999999,-52.7194,-0.00039999999999999996,131.8865638733529
4-38,117.66739999999999,-52.8752,-0.00039999999999999996,129.00156509825763
4-39,117.66739999999999,-52.8752,-0.00039999999999999996,129.00156509825763
4-40,113.65259999999999,-51.3547,-0.00030000000000000003,124.71655342756229
4-41,113.65259999999999,-51.3547,-0.00030000000000000003,124.71655342756229
4-42,111.2554,-47.8337,-0.0005,121.1025469792027
4-43,111.2554,-47.8337,-0.0005,121.1025469792027
4-44,110.03809999999999,-42.1697,0.00030000000000000003,117.8417033553911
4-45,110.03809999999999,-42.1697,0.00030000000000000003,117.8417033553911
4-46,113.67349999999999,-34.2321,0.0011,118.71605313798129
4-47,113.67349999999999,-34.2321,0.0011,118.71605313798129
4-48,117.56599999999999,-33.5975,0.0015,122.27246771963833
4-49,117.56599999999999,-33.5975,0.0015,122.27246771963833
4-50,122.3501,-34.3975,0.0007999999999999999,127.09341043602537
4-51,122.3501,-34.3975,0.0007999999999999999,127.09341043602537
4-52,126.1886,-37.0492,0.0007,131.5150409291652
4-53,126.1886,-37.0492,0.0007,131.5150409291652
4-54,133.2276,-40.9431,0.0007,139.37693797529775
4-55,133.2276,-40.9431,0.0007,139.37693797529775
4-56,133.6597,-44.736399999999996,0.0012000000000000001,140.9477239583882
4-57,133.6597,-44.736399999999996,0.0012000000000000001,140.9477239583882
4-58,132.3333,-47.5659,0.0001,140.62224977470672
